伝票日付,得意先名,メーカー,品名,型式,単位,数量,単価
2026/05/20,株式会社青山商店,リンナイ,ガス給湯器 20号,RUX-A2016,台,1,69000
2026/05/28,株式会社青山商店,リンナイ,ガスコンロ 3口,RS31W36,台,1,21500
2026/06/03,株式会社青山商店,新コスモス電機,ガス警報器,XW-716S,個,10,3200
2026/06/10,株式会社青山商店,リンナイ,ガスコンロ 3口,RS31W36,台,2,22000
2026/06/12,株式会社青山商店,ノーリツ,ガス給湯器 24号,GT-2460SAWX,台,1,84000
2026/06/18,株式会社青山商店,大阪ガス,ガスファンヒーター,140-6041,台,3,18500
2026/06/22,株式会社青山商店,愛知時計電機,マイコンメーター S型,NB15,個,5,9800
2026/06/25,株式会社青山商店,リンナイ,ガス炊飯器 5合,RR-055MST2,台,1,15800
2026/07/02,株式会社青山商店,リンナイ,ガスコンロ 3口,RS31W36,台,1,21800
2026/07/06,株式会社青山商店,リンナイ,ガス給湯器 20号,RUX-A2016,台,1,68500
2026/07/08,株式会社青山商店,ノーリツ,ガス給湯器 24号,GT-2460SAWX,台,1,82000
2026/07/10,株式会社青山商店,リンナイ,ガス衣類乾燥機 5kg,RDT-52S,台,1,98000
2026/07/12,株式会社青山商店,パーパス,ガス給湯器 16号,GX-1600AW,台,2,58000
2026/07/15,株式会社青山商店,愛知時計電機,マイコンメーター E型,EA15,個,4,10200
2026/07/16,株式会社青山商店,新コスモス電機,ガス警報器,XW-716S,個,20,3000
2026/07/18,株式会社青山商店,リンナイ,高圧ホース 2m,RGH-20K,本,15,1450
2026/07/22,株式会社青山商店,大阪ガス,ガスファンヒーター,140-6041,台,4,18200
2026/07/25,株式会社青山商店,ダイニチ,調整器 単段式,DR-15,個,12,2100
2026/07/28,株式会社青山商店,リンナイ,ガス給湯器 20号,RUX-A2016,台,1,66500
2026/07/30,株式会社青山商店,ノーリツ,ガス給湯器 24号,GT-2460SAWX,台,1,83500
2026/08/03,株式会社青山商店,リンナイ,ガスコンロ 3口,RS31W36,台,1,21500
2026/08/05,株式会社青山商店,リンナイ,ガス炊飯器 5合,RR-055MST2,台,2,15200
2026/08/07,株式会社青山商店,大阪ガス,ガスファンヒーター,140-6041,台,2,17800
2026/08/08,株式会社青山商店,リンナイ,ガス給湯器 20号,RUX-A2016,台,2,67000
2026/08/10,株式会社青山商店,ノーリツ,ガス給湯器 24号,GT-2460SAWX,台,1,81500
2026/08/12,株式会社青山商店,パーパス,ガス給湯器 16号,GX-1600AW,台,1,57500
2026/08/14,株式会社青山商店,リンナイ,ガスコンロ 3口,RS31W36,台,3,20800
2026/08/15,株式会社青山商店,愛知時計電機,マイコンメーター S型,NB15,個,8,9500
2026/08/17,株式会社青山商店,新コスモス電機,ガス警報器,XW-716S,個,10,2950
2026/08/18,株式会社青山商店,リンナイ,ガス衣類乾燥機 5kg,RDT-52S,台,1,97000
2026/08/20,株式会社青山商店,リンナイ,高圧ホース 2m,RGH-20K,本,10,1400
2026/08/22,株式会社青山商店,大阪ガス,ガスファンヒーター,140-6041,台,5,18000
2026/08/24,株式会社青山商店,リンナイ,ガス給湯器 20号,RUX-A2016,台,1,68000
2026/08/25,株式会社青山商店,ノーリツ,ガス給湯器 24号,GT-2460SAWX,台,2,83000
2026/08/26,株式会社青山商店,リンナイ,ガス炊飯器 5合,RR-055MST2,台,1,15600
2026/08/28,株式会社青山商店,ダイニチ,調整器 単段式,DR-15,個,10,2050
2026/09/01,株式会社青山商店,リンナイ,ガスコンロ 3口,RS31W36,台,2,21200
2026/09/03,株式会社青山商店,パーパス,ガス給湯器 16号,GX-1600AW,台,1,57000
2026/09/04,株式会社青山商店,リンナイ,ガス衣類乾燥機 5kg,RDT-52S,台,1,95000
2026/09/05,株式会社青山商店,新コスモス電機,ガス警報器,XW-716S,個,12,3100
2026/09/06,株式会社青山商店,愛知時計電機,マイコンメーター S型,NB15,個,6,9400
2026/09/07,株式会社青山商店,リンナイ,ガスコンロ 3口,RS31W36,台,1,21000
2026/09/08,株式会社青山商店,リンナイ,ガス給湯器 20号,RUX-A2016,台,1,66000
